MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
366902000,2023-01-01T00:05:10,28.92388,-90.49435,8.7,243.5,154.0,K-MARINE VI,IMO9199373,WDI7097,90.0,0.0,62.0,14.0,4.4,90.0,A
367057320,2023-01-01T00:13:07,37.04729,-89.18101,0.0,286.5,511.0,GLENN F ZERINGUE,,WDC6510,31.0,15.0,18.0,8.0,,31.0,A
369970481,2023-01-01T00:16:02,38.98397,-76.46723,0.0,179.0,353.0,YP-707,,NFEE,90.0,0.0,,,,99.0,A
367057320,2023-01-01T00:03:39,37.04731,-89.18103,0.1,290.2,511.0,GLENN F ZERINGUE,,WDC6510,31.0,15.0,18.0,8.0,,31.0,A
338359107,2023-01-01T00:16:10,38.7244,-76.54345,0.0,360.0,82.0,HYDRO THERAPY,IMO0000000,HYDRO,37.0,,17.0,5.0,,,B
338341000,2023-01-01T00:10:22,30.19382,-89.01117,0.2,335.5,177.0,HARVEY CHALLENGER,IMO9780835,WDI2331,90.0,0.0,60.0,,,70.0,A
367505780,2023-01-01T00:02:12,29.33626,-94.83651,6.4,231.3,228.0,CPL JACOB C LEICHT,,WDF9500,31.0,0.0,24.0,,,57.0,A
367428170,2023-01-01T00:04:46,30.42356,-91.19607,0.6,117.7,511.0,CAJUN HUSTLER,,WDF2447,31.0,0.0,17.0,6.0,,31.0,A
367649360,2023-01-01T00:04:53,30.0669,-93.26863,0.0,246.1,60.0,SAMMY CENAC,,WDH7565,31.0,12.0,21.0,,,57.0,A
338467987,2023-01-01T00:09:09,47.62848,-122.39093,0.0,157.9,511.0,CIVITA,IMO0000000,,36.0,,13.0,2.0,,,B
367702530,2023-01-01T00:15:47,30.01303,-90.74333,0.0,17.8,277.0,SAFETY SPIRIT,,WDI4836,31.0,0.0,21.0,8.0,,31.0,A
368040320,2023-01-01T00:09:40,28.40862,-80.63047,0.1,247.8,511.0,GALENE,IMO0000000,WDK2935,36.0,,16.0,5.0,,,B
369230000,2023-01-01T00:05:53,40.66817,-74.00151,0.0,247.0,10.0,PHILADELPHIA,IMO9819428,WDJ3655,31.0,0.0,,,,52.0,A
316036419,2023-01-01T00:01:03,43.13123,-79.19247,1.5,2.8,3.0,MCKEIL SPIRIT,IMO9347023,VCAS,70.0,0.0,140.0,21.0,6.5,70.0,A
367545540,2023-01-01T00:07:36,32.66814,-91.12512,3.9,69.1,511.0,KIM KING,,WDG5328,31.0,15.0,19.0,,,31.0,A
367396670,2023-01-01T00:16:08,37.82184,-122.31107,0.0,235.5,511.0,Z-THREE,IMO9194153,WDE7712,31.0,0.0,28.0,9.0,3.5,52.0,A
367596850,2023-01-01T00:14:58,29.14314,-90.21439,0.0,104.6,336.0,HOS BAYOU,IMO9647681,WDH2368,90.0,5.0,92.0,19.0,6.4,70.0,A
367561730,2023-01-01T00:02:25,29.14122,-90.2056,0.1,257.3,71.0,MR JAKE,IMO9660994,WDG6890,60.0,0.0,53.0,9.0,2.3,68.0,A
366984940,2023-01-01T00:00:02,39.99847,-90.49654,0.0,251.9,250.0,MARY EVELYN,,WDB9909,31.0,12.0,45.0,14.0,,57.0,A
367748490,2023-01-01T00:02:19,37.9707,-122.49645,3.4,95.2,511.0,PHYLLIS T,,WDI9426,31.0,0.0,15.0,4.0,0.0,31.0,A
338116397,2023-01-01T00:05:13,33.60993,-117.92651,0.0,351.0,511.0,RAPALLO,,,37.0,,,,,,B
338842000,2023-01-01T00:15:46,32.6878,-117.23616,0.0,217.0,65.0,GRASP,IMO8434324,NADQ,90.0,5.0,71.0,,,31.0,A
477770200,2023-01-01T00:01:15,38.79792,-73.89655,9.4,208.2,206.0,MAERSK STOCKHOLM,IMO9352042,VRGW3,70.0,0.0,334.0,42.0,14.5,71.0,A
636014379,2023-01-01T00:06:53,27.77668,-96.86857,0.0,340.0,55.0,BLUE SEA,IMO9413028,A8TK8,80.0,1.0,228.0,42.0,14.8,84.0,A
440141000,2023-01-01T00:10:05,47.58297,-122.34586,0.0,221.4,180.0,SM BUSAN,IMO9312767,D7BT,74.0,5.0,304.0,40.0,9.9,74.0,A
366744020,2023-01-01T00:02:23,40.69996,-74.15263,0.0,139.9,113.0,MARY ALICE,IMO7402738,WCX9570,31.0,12.0,30.0,8.0,3.6,31.0,A
367477560,2023-01-01T00:08:22,29.8063,-92.25983,6.6,291.4,293.0,CAPT PIC NAQUIN,,WDF6760,31.0,0.0,25.0,9.0,,90.0,A
366816020,2023-01-01T00:11:22,29.72647,-95.22537,0.0,263.9,511.0,SCOTT R WILSON,IMO8635667,WDA5062,31.0,12.0,22.0,9.0,,57.0,A
368227820,2023-01-01T00:08:20,29.68496,-91.14899,0.0,360.0,511.0,MISS WRENN,IMO180000000,WDM6736,23.0,0.0,20.0,8.0,4.0,23.0,A
367179790,2023-01-01T00:05:54,18.22973,-65.62015,0.0,340.0,511.0,LADY EVE,IMO8658011,WDD6945,60.0,0.0,43.0,9.0,2.7,60.0,A
636018758,2023-01-01T00:11:00,42.3846,-71.02538,0.1,151.9,56.0,ATLANTICA BRIDGE,IMO9307815,D5RG2,89.0,5.0,182.0,32.0,8.0,89.0,A
368006860,2023-01-01T00:14:06,29.95346,-90.01975,0.2,20.0,299.0,LIZ HEALY,IMO9840685,WDJ7456,31.0,0.0,,,,31.0,A
338242137,2023-01-01T00:05:20,32.76337,-117.23693,0.1,80.3,305.0,TESSA ELIZABETH,IMO0000000,,37.0,,9.0,4.0,,,B
368010330,2023-01-01T00:00:06,33.77099,-118.21131,0.0,206.2,110.0,RICH PADDEN,,WDJ7811,52.0,0.0,,,,52.0,A
367711530,2023-01-01T00:10:36,36.90688,-76.0893,0.0,294.5,511.0,CAPE CHARLES,,WDI5730,90.0,15.0,11.0,4.0,,50.0,A
366677000,2023-01-01T00:09:06,27.79613,-92.01215,4.3,336.0,342.0,ODYSSEA COURAGE,IMO9213040,WDF7773,90.0,0.0,70.0,14.0,3.9,70.0,A
368217640,2023-01-01T00:06:35,25.78165,-80.16329,0.0,156.5,511.0,MAJESTIC MOMENTS,IMO0000000,WDM5620,37.0,,0.0,0.0,,,B
367467120,2023-01-01T00:05:55,33.8419,-118.39219,0.0,240.9,511.0,AVA FOSS,,WDF5779,60.0,0.0,18.0,5.0,,60.0,A
338336285,2023-01-01T00:01:02,48.55659,-122.87294,0.0,360.0,331.0,TENACITY,IMO0000000,,37.0,,10.0,4.0,,,B
352135000,2023-01-01T00:05:56,37.76447,-73.60587,0.8,2.5,93.0,EVER LOTUS,IMO9604122,3FWH8,70.0,0.0,334.0,45.0,14.2,74.0,A
369970571,2023-01-01T00:04:34,34.84848,-76.6898,7.4,355.6,511.0,MURDEN,,AELE,90.0,5.0,45.0,,,33.0,A
316023959,2023-01-01T00:08:12,42.09893,-83.11337,0.0,41.7,511.0,PRIDE,,CFN6705,31.0,0.0,,,,52.0,A
368096150,2023-01-01T00:00:52,25.7701,-80.1405,0.1,247.3,511.0,HUNTRESS,IMO0000000,WDK8646,37.0,,34.0,8.0,,,B
368121960,2023-01-01T00:16:27,30.13454,-93.32362,0.0,62.5,69.0,HEATH MCWILLIAMS,,WDL3475,31.0,12.0,26.0,11.0,2.8,31.0,A
366862710,2023-01-01T00:06:53,34.01317,-91.42401,6.0,123.1,125.0,WALTER E BLESSEY JR,IMO8976619,WDA9212,31.0,12.0,32.0,9.0,,57.0,A
368111380,2023-01-01T00:00:01,37.95702,-122.45351,0.0,263.8,511.0,DB24,IMO0016092,WDL2364,99.0,3.0,53.0,13.0,0.0,99.0,A
338369364,2023-01-01T00:05:06,30.67179,-81.4658,0.0,360.0,10.0,DILLIGAF,IMO0000000,,37.0,,16.0,5.0,,,B
368285040,2023-01-01T00:07:45,30.18569,-91.5271,4.6,355.8,353.0,JACK CENAC,,WDN4878,52.0,15.0,18.0,9.0,0.0,52.0,A
338108205,2023-01-01T00:16:05,34.24544,-119.26339,0.0,20.1,511.0,THE FLYING PENGUIN,,,37.0,,11.0,,,,B
367583840,2023-01-01T00:00:38,41.6292,-88.06273,0.0,270.5,511.0,KIOWA,,WDG9056,31.0,0.0,21.0,,,31.0,A
431772000,2023-01-01T00:03:25,33.7437,-118.20099,0.0,202.4,92.0,ONE OWL,IMO9741449,7KBK,71.0,5.0,364.0,51.0,14.2,71.0,A
369307000,2023-01-01T00:15:14,47.60479,-122.34069,0.0,360.0,92.0,SALISH EXPLORER,,WDJ8120,136.0,0.0,,,,136.0,A
367178000,2023-01-01T00:00:06,26.74993,-80.05126,0.0,100.6,271.0,ANTARES,,WDN3320,37.0,5.0,40.0,8.0,2.1,37.0,A
367098070,2023-01-01T00:08:10,39.22567,-76.58032,0.0,228.8,293.0,GULF COAST,,WDC9139,31.0,15.0,28.0,9.0,,52.0,A
367513230,2023-01-01T00:05:52,45.64359,-122.75298,0.0,314.0,225.0,WILLAMETTE,IMO8972998,WDG2204,31.0,0.0,26.0,10.0,,52.0,A
338377767,2023-01-01T00:06:56,42.38165,-70.9941,0.0,360.0,511.0,FINN,IMO0000000,FINN,37.0,,13.0,4.0,,,B
311062000,2023-01-01T00:07:01,27.72965,-91.1085,0.0,274.9,139.0,HELIX PRODUCER I,IMO8420115,C6RK2,90.0,3.0,161.0,29.0,8.6,7.0,A
367455770,2023-01-01T00:01:55,29.31277,-94.78845,0.0,167.1,54.0,SR AMERICAN PROGRESS,IMO9118628,KAWM,80.0,5.0,183.0,32.0,12.2,89.0,A
338092678,2023-01-01T00:16:17,47.63074,-122.33963,0.0,0.0,511.0,CHARADE,IMO0000000,WDB3046,37.0,,20.0,5.0,,,B
368256970,2023-01-01T00:03:15,44.42926,-69.00528,0.0,341.6,194.0,FOURNIER GIRLS,IMO7114109,WDM9903,31.0,0.0,33.0,10.0,0.0,31.0,A
366917140,2023-01-01T00:05:09,35.17556,-92.94657,4.8,67.9,72.0,LAURA ELIZABETH,,WV9611,31.0,0.0,34.0,10.0,,32.0,A
367740670,2023-01-01T00:11:27,27.84003,-97.06973,0.0,167.5,511.0,CHARLES W. HEALD,,WDI8644,60.0,15.0,,,,60.0,A
366936980,2023-01-01T00:14:59,40.58428,-80.668,0.0,271.6,19.0,MAGNOLIA,,WDB7135,31.0,5.0,39.0,10.0,,57.0,A
367396910,2023-01-01T00:16:39,17.93668,-66.15628,0.0,195.9,511.0,ALEJANDRO,IMO7606633,WDE7729,31.0,5.0,34.0,10.0,3.7,52.0,A
367047150,2023-01-01T00:11:20,45.61758,-122.78785,3.8,340.1,356.0,CAPTAIN BOB,,WDC5835,31.0,5.0,30.0,10.0,,52.0,A
367759030,2023-01-01T00:15:27,27.77969,-82.41595,0.0,346.1,511.0,STELLA MARIS,IMO0000000,WDJ2508,37.0,,12.0,4.0,,,B
368005880,2023-01-01T00:06:15,29.9546,-90.29723,0.1,104.6,511.0,LOUISIANA STRONG,,WDJ7352,31.0,0.0,,,,31.0,A
338243697,2023-01-01T00:00:28,38.77357,-76.56802,0.0,360.0,511.0,ARIA,IMO0000000,ARIA48,36.0,,15.0,5.0,,,B
303210000,2023-01-01T00:14:22,29.17718,-80.46436,15.4,162.7,163.0,PATRIOT,IMO9316139,WAIU,70.0,0.0,199.0,32.0,11.3,70.0,A
338302000,2023-01-01T00:17:14,26.59785,-89.3231,10.2,293.7,296.0,MAGNOLIA STATE,IMO9697997,KGNQ,80.0,0.0,186.0,,,80.0,A
368017810,2023-01-01T00:09:31,41.74785,-124.18459,0.0,135.6,511.0,FV CHARLEY,IMO0000000,,30.0,,22.0,8.0,,,B
374655000,2023-01-01T00:16:46,29.35121,-94.74288,0.1,56.7,152.0,SUMIRE GAS,IMO9723681,3FKR8,80.0,1.0,229.0,,,89.0,A
367003630,2023-01-01T00:01:15,30.04481,-90.63972,5.8,307.2,305.0,CSS VIRGINIA,,WDC3185,31.0,12.0,21.0,8.0,,52.0,A
367718490,2023-01-01T00:14:33,29.67803,-91.22123,4.7,45.0,43.0,ST BARTHOLOMEW,,WDI6417,31.0,12.0,,,,57.0,A
367519280,2023-01-01T00:00:03,45.10043,-87.6189,0.0,154.6,272.0,OCEAN ENDEAVOR,IMO8851481,WDG2788,31.0,0.0,18.0,6.0,,52.0,A
367605530,2023-01-01T00:15:34,28.31306,-91.36551,8.8,77.2,76.0,PATIENCE LAB,IMO9563043,WDH3221,90.0,0.0,45.0,10.0,3.0,70.0,A
366606000,2023-01-01T00:03:59,21.31159,-157.86564,0.0,323.8,9.0,HAWAII RESPONDER,IMO9043897,WBO8589,90.0,5.0,63.0,13.0,4.4,70.0,A
367156850,2023-01-01T00:06:45,29.77158,-95.102,0.0,199.1,511.0,MARTHA T,IMO8301101,WDD5337,31.0,0.0,29.0,8.0,,57.0,A
367520270,2023-01-01T00:03:12,32.37989,-90.99948,4.0,23.2,24.0,PATRIOT,,WDG2884,31.0,12.0,29.0,,,57.0,A
256732000,2023-01-01T00:10:59,27.36962,-92.55489,7.6,332.6,341.0,HELLAS POSEIDON,IMO9721140,9HA3992,80.0,0.0,225.0,,,80.0,A
367008390,2023-01-01T00:13:52,29.32713,-94.78027,0.0,269.9,511.0,MASTER DYLAN,,WDC3472,31.0,0.0,18.0,8.0,,52.0,A
368004920,2023-01-01T00:00:08,38.62315,-90.18101,5.9,16.4,511.0,SIR RICHARD,,WDJ7255,31.0,0.0,,,,31.0,A
367108840,2023-01-01T00:03:35,29.655,-91.12407,0.0,292.7,511.0,GALVESTON BAY,IMO7201536,WX9281,30.0,0.0,49.0,10.0,,30.0,A
368232030,2023-01-01T00:02:27,30.32729,-87.32967,0.0,360.0,511.0,RANGER,,WDM7226,33.0,3.0,30.0,12.0,0.0,33.0,A
367022550,2023-01-01T00:18:45,40.63673,-74.07241,0.0,271.3,511.0,SAMANTHA MILLER,,WDH9888,60.0,0.0,18.0,8.0,,96.0,A
316018605,2023-01-01T00:01:14,49.19846,-122.6512,3.2,227.3,511.0,HARKEN NO 5,,,90.0,12.0,,,,90.0,A
367691190,2023-01-01T00:00:02,39.94338,-90.5339,0.0,279.5,284.0,CAPT GEORGE BRUMLEY,,WDI3717,31.0,12.0,24.0,,,57.0,A
316002501,2023-01-01T00:07:27,46.5173,-84.37605,0.0,188.0,328.0,MICHIPICOTEN,IMO5102865,CFG8060,70.0,0.0,212.0,21.0,8.0,70.0,A
367690430,2023-01-01T00:10:38,41.39606,-88.25888,1.7,301.1,301.0,CHEROKEE,,WDI3644,31.0,12.0,25.0,,,32.0,A
368170240,2023-01-01T00:03:17,35.31423,-94.55873,0.2,320.3,322.0,THE JUDGE,,WDL8517,31.0,12.0,204.0,34.0,2.6,31.0,A
311058700,2023-01-01T00:03:23,28.09098,-80.28753,18.9,147.3,149.0,DISNEY FANTASY,IMO9445590,C6ZL6,60.0,0.0,339.0,40.0,8.3,60.0,A
636021785,2023-01-01T00:14:12,29.19079,-94.6957,0.0,131.8,80.0,SFL COMPOSER,IMO9293583,5LFR2,79.0,1.0,200.0,32.0,8.2,79.0,A
368024150,2023-01-01T00:11:02,24.57597,-81.78869,0.4,158.2,511.0,RUFF LIFE,IMO0000000,,36.0,,13.0,8.0,,,B
367702390,2023-01-01T00:06:35,30.52363,-91.21551,0.7,54.6,284.0,SAFETY EXPLORER,,WDI4824,31.0,0.0,21.0,8.0,,31.0,A
366986450,2023-01-01T00:11:41,41.79215,-90.24425,0.0,262.0,296.0,JULIEN DUBUQUE,,WDC2012,31.0,0.0,16.0,7.0,,31.0,A
311003600,2023-01-01T00:13:17,48.13329,-123.41768,0.8,14.0,319.0,CSCC SHANGHAI,IMO9361823,C6XA5,70.0,1.0,176.0,31.0,8.7,70.0,A
367715000,2023-01-01T00:03:33,33.34646,-118.3215,10.6,43.2,511.0,MELISSA ANN,,WDC5079,60.0,0.0,22.0,8.0,,60.0,A
366919160,2023-01-01T00:09:25,38.26172,-90.36961,5.7,348.9,349.0,BOBBY JONES,,WX5233,31.0,0.0,34.0,10.0,,57.0,A
368201230,2023-01-01T00:14:41,29.25631,-94.52197,2.2,300.4,511.0,DAT THINH,IMO8856364,WDM3869,30.0,15.0,24.0,8.0,2.2,30.0,A
303398000,2023-01-01T00:09:01,48.09821,-122.68483,6.2,183.8,188.0,TAURUS,IMO7941021,WYH6499,31.0,0.0,27.0,8.0,3.0,31.0,A
366778450,2023-01-01T00:10:27,37.94481,-122.50837,0.0,318.8,317.0,GOLDEN GATE,IMO9183207,WDF7183,60.0,0.0,42.0,11.0,1.5,40.0,A
477735500,2023-01-01T00:10:17,33.45166,-117.97614,0.5,58.2,158.0,NEW COROLLA,IMO9900679,VRUI6,80.0,0.0,333.0,60.0,19.9,80.0,A
369251000,2023-01-01T00:09:21,25.77022,-80.14005,0.0,313.8,511.0,XANADU,,WDJ4552,37.0,,21.0,,,,B
367432980,2023-01-01T00:02:21,47.62815,-122.39255,0.0,273.4,90.0,RAINDANCER,,WDF2879,37.0,5.0,18.0,5.0,,37.0,A
338409316,2023-01-01T00:10:11,36.86861,-76.00463,0.0,325.9,511.0,SEAS LIFE,IMO0000000,,37.0,,19.0,5.0,,,B
338066671,2023-01-01T00:06:10,30.41291,-86.48849,0.0,0.3,511.0,NIGHT WATCH,,,37.0,,17.0,,,,B
368007340,2023-01-01T00:03:31,29.3147,-94.77878,0.0,254.5,511.0,GREEN KNIGHT,,WDJ7504,90.0,0.0,29.0,7.0,,39.0,A
368178110,2023-01-01T00:10:58,29.1139,-89.4982,0.1,265.0,222.0,VB 10;000,,WDL9334,90.0,3.0,90.0,96.0,4.0,90.0,A
316013941,2023-01-01T00:00:04,49.20756,-123.08113,0.0,290.7,511.0,TYEE TITAN,,,71.0,,,,,,B
367328540,2023-01-01T00:03:13,30.41294,-88.8813,0.0,278.1,183.0,LISA,,WDE2705,31.0,0.0,20.0,7.0,,31.0,A
367662440,2023-01-01T00:16:53,38.8338,-82.15162,0.0,143.7,511.0,MILTON,,WDH8880,31.0,0.0,17.0,,,22.0,A
316028942,2023-01-01T00:09:07,26.7653,-80.04398,0.2,360.0,511.0,TFORTWO,IMO0000000,,36.0,,8.0,3.0,,,B
636020073,2023-01-01T00:08:53,38.968,-75.19767,0.1,221.0,324.0,CHEMTRANS POLARIS,IMO9308998,D5XN9,80.0,1.0,228.0,32.0,13.1,80.0,A
367604000,2023-01-01T00:09:31,29.3127,-94.81841,0.0,318.8,104.0,GENERAL RUDDER,IMO8835463,WTAU,90.0,5.0,68.0,13.0,4.6,79.0,A
368136870,2023-01-01T00:09:18,30.2891,-86.57959,11.2,272.5,272.0,RODNEY,IMO7420417,WDL4994,52.0,0.0,36.0,12.0,4.9,52.0,A
338069102,2023-01-01T00:04:45,32.70666,-117.16562,0.0,360.0,511.0,LADY CONSTANCE,IMO0000000,,37.0,,10.0,6.0,,,B
319209400,2023-01-01T00:02:48,26.09768,-80.16735,0.0,267.0,216.0,RHINO,,ZGOG8,37.0,0.0,25.0,8.0,7.7,37.0,A
367657930,2023-01-01T00:11:30,32.08597,-81.09443,0.0,144.6,511.0,JOHN PARRISH,,WDH8435,31.0,11.0,28.0,7.0,,52.0,A
367608860,2023-01-01T00:09:22,47.97132,-122.34336,12.9,112.5,107.0,WSF TOKITAE,IMO9720160,WDH3588,60.0,0.0,110.0,25.0,5.0,60.0,A
538008046,2023-01-01T00:00:37,28.56935,-94.24553,0.0,62.0,148.0,ELLI,IMO9412452,V7CI6,80.0,5.0,250.0,44.0,8.6,80.0,A
367691280,2023-01-01T00:09:14,27.54635,-92.44467,0.1,196.5,204.0,ROBIN,IMO9732474,WDI3726,90.0,0.0,82.0,,,70.0,A
367754980,2023-01-01T00:02:34,47.79544,-122.49711,0.0,327.8,511.0,COOL BREEZE,,WDJ2073,37.0,,,,,,B
366882560,2023-01-01T00:01:31,38.40156,-76.38009,1.1,77.2,511.0,EMILY ANNE MCALLISTE,IMO9291834,WDB3028,31.0,0.0,29.0,10.0,3.8,52.0,A
366961220,2023-01-01T00:06:38,30.04926,-90.53915,0.0,333.3,278.0,CHARLIE-C,IMO7237468,WDH5463,31.0,0.0,24.0,7.0,,52.0,A
316021382,2023-01-01T00:02:56,49.15398,-122.95089,0.0,205.0,511.0,BLACK HAWK II,,,52.0,0.0,12.0,5.0,2.0,52.0,A
367744660,2023-01-01T00:01:56,47.66179,-122.38551,0.0,340.9,209.0,LAKESIDER,IMO8981793,WDI9041,37.0,5.0,28.0,,,37.0,A
366990010,2023-01-01T00:11:10,37.03399,-89.27462,7.8,299.6,294.0,SHERYL,,WDC2249,31.0,0.0,24.0,11.0,,31.0,A
366943250,2023-01-01T00:13:51,25.7737,-80.17698,0.1,285.9,109.0,HAWK,IMO9103295,WCS9768,31.0,0.0,33.0,12.0,,1.0,A
636019142,2023-01-01T00:02:12,28.56542,-94.73429,0.6,0.5,29.0,SOHO SQUARE,IMO9505819,D5TD3,80.0,0.0,249.0,44.0,8.0,80.0,A
366972950,2023-01-01T00:01:01,27.82359,-97.18928,6.6,24.4,25.0,FRANCES M DEVALL,,WQZ6719,31.0,0.0,19.0,7.0,,31.0,A
368202030,2023-01-01T00:03:27,32.72634,-117.2133,0.0,360.0,511.0,SECOND WIND,IMO0000000,,37.0,,12.0,4.0,,,B
311177000,2023-01-01T00:04:09,29.11657,-94.52567,0.0,27.1,127.0,DONEGAL SPIRIT,IMO9312846,C6VE7,80.0,1.0,243.0,42.0,14.9,80.0,A
311707000,2023-01-01T00:07:40,29.60573,-89.86665,10.5,100.0,101.0,PGC IKAROS,IMO9283617,C6TN6,80.0,0.0,228.0,32.0,14.0,80.0,A
367263000,2023-01-01T00:03:34,36.9208,-76.18236,0.0,270.0,511.0,CG VIGOROUS,,NQSP,90.0,0.0,64.0,10.0,,55.0,A
368926285,2023-01-01T00:03:28,36.85748,-76.30755,0.0,338.9,511.0,USACE EWELL,,AELQ,49.0,5.0,19.0,7.0,0.0,49.0,A
366980890,2023-01-01T00:10:35,41.49173,-81.72105,0.0,45.4,511.0,ARKANSAS,,WH8588,31.0,5.0,22.0,6.0,,31.0,A
367000110,2023-01-01T00:02:18,40.64123,-74.07275,0.1,144.0,263.0,JOHN A NOBLE,IMO8643054,WTZ3863,60.0,0.0,60.0,12.0,,60.0,A
351184000,2023-01-01T00:02:31,28.85459,-95.17011,0.1,188.9,90.0,BUNUN POWER,IMO9782663,3FAA,70.0,1.0,180.0,30.0,9.3,70.0,A
538007512,2023-01-01T00:01:33,25.85139,-93.85851,12.7,110.1,111.0,OLYMPIC FRIENDSHIP,IMO9745251,V7SP5,80.0,0.0,,,,82.0,A
367674960,2023-01-01T00:04:52,48.6099,-123.15376,0.0,360.0,511.0,SALUS,,WDI2123,37.0,,22.0,,,,B
367183020,2023-01-01T00:12:56,29.99109,-93.93521,0.0,295.0,116.0,BUCCANEER,IMO9397406,WDD7185,31.0,5.0,29.0,10.0,3.7,31.0,A
367641650,2023-01-01T00:04:51,37.79507,-87.13358,0.1,154.2,114.0,BRANDI ANN,,WDH6791,31.0,12.0,15.0,,,0.0,A
368000070,2023-01-01T00:03:14,30.0465,-81.27036,2.0,357.9,511.0,SHAWNA LUCILLE,,WDJ6774,30.0,,22.0,,,,B
368170890,2023-01-01T00:17:58,29.78105,-95.10011,0.0,243.6,180.0,CAPT FRANK W BANTA,,WDL8581,31.0,15.0,23.0,11.0,0.0,31.0,A
367299580,2023-01-01T00:17:53,27.81479,-97.21466,0.1,360.0,511.0,COASTAL STAR,,WDD8547,0.0,12.0,14.0,5.0,0.0,0.0,A
352001952,2023-01-01T00:05:41,33.82312,-118.80762,11.6,120.5,122.0,KAMUI GALAXY,IMO9942653,3E2792,80.0,0.0,157.0,28.0,6.8,80.0,A
367402990,2023-01-01T00:03:38,38.7467,-85.04681,0.0,150.8,64.0,LINDA REED,,WDE8222,31.0,12.0,40.0,10.0,,31.0,A
367621940,2023-01-01T00:00:07,27.83693,-97.09784,0.1,301.3,511.0,SEA OTTER,,WDH4842,31.0,0.0,20.0,,,90.0,A
338402907,2023-01-01T00:05:36,37.87192,-122.46131,0.0,66.0,511.0,NEXTCHAPTER,IMO0000000,,37.0,,14.0,4.0,,,B
368123123,2023-01-01T00:09:37,37.06483,-88.07147,1.0,188.9,223.0,JARED PHILLIPS,,WDL9134,57.0,12.0,74.0,33.0,2.8,57.0,A
366995230,2023-01-01T00:10:38,40.64391,-80.48356,0.0,360.0,511.0,CAPT BILL IKNER,,WDC2580,31.0,15.0,24.0,8.0,,52.0,A
368008820,2023-01-01T00:15:09,48.37565,-122.50659,0.0,198.6,1.0,SWIN 1,IMO0000000,,90.0,,10.0,4.0,,,B
368219820,2023-01-01T00:10:07,47.67846,-122.40731,0.0,360.0,511.0,HIKARI,IMO0000000,WDM5849,36.0,,15.0,4.0,,,B
368173810,2023-01-01T00:17:15,38.42057,-82.59533,6.5,151.2,155.0,TRI STATE,,WDL8879,0.0,12.0,112.0,18.0,2.3,0.0,A
477524800,2023-01-01T00:05:11,23.71786,-83.34643,11.7,101.4,100.0,GREAT VICTORY,IMO9733612,VRNO3,70.0,0.0,225.0,,,70.0,A
367005280,2023-01-01T00:09:51,30.0487,-90.65854,5.4,274.5,263.0,CREOLE ANN,,WDC3286,31.0,0.0,18.0,7.0,,57.0,A
368018870,2023-01-01T00:13:32,26.71609,-80.04821,0.1,302.0,511.0,KRISTINA,IMO0000000,WDJ8692,37.0,,26.0,6.0,,,B
338703000,2023-01-01T00:16:53,39.88504,-75.18153,0.0,25.4,3.0,GENESIS VICTORY,IMO8973942,WDG9351,31.0,5.0,30.0,10.0,5.0,52.0,A
368226320,2023-01-01T00:17:12,30.40367,-88.25505,0.0,360.0,511.0,LADY LILY,IMO0000000,WDM6566,30.0,,25.0,8.0,,,B
367148470,2023-01-01T00:09:27,28.40863,-80.66517,0.0,58.6,511.0,MEGAN BEYEL,,WCZ2412,31.0,0.0,32.0,7.0,,32.0,A
367581150,2023-01-01T00:04:37,29.37543,-94.86646,0.0,117.1,69.0,ALAMO,,WDG8795,31.0,0.0,22.0,,,31.0,A
319106900,2023-01-01T00:09:01,29.21928,-94.61989,0.0,326.4,70.0,STOLT INTEGRITY,IMO9680097,ZGEY2,80.0,1.0,,,,80.0,A
367306920,2023-01-01T00:14:22,38.54174,-90.25083,4.4,15.3,511.0,TRIPPER,,WDD9104,31.0,15.0,17.0,6.0,,31.0,A
366954170,2023-01-01T00:03:23,29.4729,-89.68399,0.0,175.7,511.0,OLGA G STONE,,WBS3207,31.0,0.0,18.0,7.0,,57.0,A
366788850,2023-01-01T00:15:27,42.04631,-124.26579,0.0,91.0,511.0,ALEX,,WDA2216,30.0,,23.0,6.0,,,B
366768030,2023-01-01T00:08:48,33.76304,-118.19929,0.1,254.1,511.0,STARSHIP EXPRESS,IMO9198472,WCZ3442,60.0,5.0,41.0,10.0,1.4,40.0,A
367664730,2023-01-01T00:16:06,41.63598,-70.90898,0.0,167.7,511.0,AMBASSADOR,IMO7947374,WDH9106,30.0,,28.0,7.0,,,B
368268910,2023-01-01T00:08:23,24.57098,-81.78896,0.2,360.0,511.0,GHOSTSHIP,IMO0000000,,36.0,,0.0,0.0,,,B
368011000,2023-01-01T00:01:14,47.98043,-122.23021,0.0,360.0,511.0,USS KIDD,,NKID,90.0,0.0,,,,0.0,A
367437150,2023-01-01T00:10:16,29.36939,-94.88996,0.0,128.0,356.0,SCOTT CAMP,,WDF3203,31.0,0.0,26.0,9.0,,31.0,A
368121820,2023-01-01T00:12:08,29.95382,-90.06252,0.0,360.0,5.0,MICHAEL S,,WDL3461,52.0,0.0,32.0,12.0,0.0,52.0,A
368231150,2023-01-01T00:07:30,35.89506,-75.63842,0.0,360.0,511.0,DOCTOR BONES,IMO0000000,WDM7129,37.0,,20.0,7.0,,,B
